,camper_id,session_id,zipcode,county_id,county,state,state_long_name,cases_per_100k_county,date_county,positive_of_total_state,increase_per_100k_state,date_state
0,2424030,western_expedition,28601,37035,Catawba,NC,North Carolina,43.86,2020-10-30,6.772489147149948,26.74,2020-10-31
1,2587669,session_2,37350,47065,Hamilton,TN,Tennessee,183.96,2020-10-30,7.099349551293067,17.34,2020-10-31
2,2601673,leadership_in_training_(lit)_1,32746,12117,Seminole,FL,Florida,48.22,2020-10-30,12.92678125844651,10.63,2020-10-31
3,2683141,western_expedition,29464,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
4,2748592,western_expedition,27608,37183,Wake,NC,North Carolina,207.74,2020-10-30,6.772489147149948,26.74,2020-10-31
5,2790994,blue_ridge_2,27612,37183,Wake,NC,North Carolina,207.74,2020-10-30,6.772489147149948,26.74,2020-10-31
6,3015204,outer_banks_1,29407,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
7,3565475,leadership_in_training_(lit)_1,30030,13089,DeKalb,GA,Georgia,211.01,2020-10-30,10.059965525260193,24.16,2020-10-31
8,3691983,session_3,29464,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
9,3872280,outer_banks_2,28211,37119,Mecklenburg,NC,North Carolina,326.02,2020-10-30,6.772489147149948,26.74,2020-10-31
10,4159192,blue_ridge_2,30606,13059,Clarke,GA,Georgia,64.07,2020-10-30,10.059965525260193,24.16,2020-10-31
11,4211087,western_expedition,44145,39035,Cuyahoga,OH,Ohio,181.93,2020-10-30,4.823623336195792,24.94,2020-10-31
12,4254427,session_3,29607,45045,Greenville,SC,South Carolina,347.54,2020-10-30,9.8006159651508,19.77,2020-10-31
13,4257962,leadership_in_training_(lit)_1,27510,37135,Orange,NC,North Carolina,29.86,2020-10-30,6.772489147149948,26.74,2020-10-31
14,4284256,session_3,29401,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
15,4294687,session_3,29401,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
16,4399457,blue_ridge_1,29407,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
17,4420040,western_expedition,29401,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
